TXNAME,GENEID
lcl|CP064677.1_cds_QPD34916.1_2288,nuoB
lcl|CP064677.1_cds_QPD34917.1_2289,nuoA
lcl|CP064677.1_cds_QPD34918.1_2290,lrhA
lcl|CP064677.1_cds_QPD34919.1_2291,alaA
lcl|CP064677.1_cds_QPD34920.1_2292,yfbR
lcl|CP064677.1_cds_QPD34921.1_2293,IVL04_11705
lcl|CP064677.1_cds_QPD34922.1_2294,hxpA
lcl|CP064677.1_cds_QPD34923.1_2295,IVL04_11715
lcl|CP064677.1_cds_QPD34924.1_2296,IVL04_11720
lcl|CP064677.1_cds_QPD34925.1_2297,ackA
lcl|CP064677.1_cds_QPD34926.1_2298,pta
lcl|CP064677.1_cds_QPD34927.1_2299,yfcC
lcl|CP064677.1_cds_QPD34928.1_2300,yfcD
lcl|CP064677.1_cds_QPD34929.1_2301,yfcE
lcl|CP064677.1_cds_QPD34930.1_2302,yfcF
lcl|CP064677.1_cds_QPD34931.1_2303,yfcG
lcl|CP064677.1_cds_QPD34932.1_2304,folX
lcl|CP064677.1_cds_QPD34933.1_2305,IVL04_11765
lcl|CP064677.1_cds_QPD34934.1_2306,rpnB
lcl|CP064677.1_cds_QPD34935.1_2307,hisP
lcl|CP064677.1_cds_QPD34936.1_2308,IVL04_11780
lcl|CP064677.1_cds_QPD34937.1_2309,hisQ
lcl|CP064677.1_cds_QPD34938.1_2310,hisJ
lcl|CP064677.1_cds_QPD34939.1_2311,argT
lcl|CP064677.1_cds_QPD34940.1_2312,ubiX
lcl|CP064677.1_cds_QPD34941.1_2313,purF
lcl|CP064677.1_cds_QPD34942.1_2314,cvpA
lcl|CP064677.1_cds_QPD34943.1_2315,dedD
lcl|CP064677.1_cds_QPD34944.1_2316,folC
lcl|CP064677.1_cds_QPD34945.1_2317,accD
lcl|CP064677.1_cds_QPD34946.1_2318,IVL04_11830
lcl|CP064677.1_cds_QPD34947.1_2319,truA
lcl|CP064677.1_cds_QPD34948.1_2320,IVL04_11840
lcl|CP064677.1_cds_QPD34949.1_2321,pdxB
lcl|CP064677.1_cds_QPD34950.1_2322,flk
lcl|CP064677.1_cds_QPD34951.1_2323,IVL04_11855
lcl|CP064677.1_cds_QPD34952.1_2324,fabB
lcl|CP064677.1_cds_QPD34953.1_2325,mnmC
lcl|CP064677.1_cds_QPD34954.1_2326,IVL04_11870
lcl|CP064677.1_cds_QPD34955.1_2327,epmC
lcl|CP064677.1_cds_QPD34956.1_2328,IVL04_11880
lcl|CP064677.1_cds_QPD34957.1_2329,mepA
lcl|CP064677.1_cds_QPD34958.1_2330,aroC
lcl|CP064677.1_cds_QPD34959.1_2331,prmB
lcl|CP064677.1_cds_QPD34960.1_2332,smrB
lcl|CP064677.1_cds_QPD34961.1_2333,IVL04_11905
lcl|CP064677.1_cds_QPD34962.1_2334,IVL04_11910
lcl|CP064677.1_cds_QPD34963.1_2335,IVL04_11915
lcl|CP064677.1_cds_QPD34964.1_2336,IVL04_11920
lcl|CP064677.1_cds_QPD34965.1_2337,IVL04_11925
lcl|CP064677.1_cds_QPD34966.1_2339,IVL04_11935
